RT,PUMA,SERIALNO,SPORDER,ADJUST,PWGTP,AGEP,CIT,COW,DDRS,DEYE,DOUT,DPHY,DREM,DWRK,ENG,FER,GCL,GCM,GCR,INTP,JWMN,JWRIP,JWTR,LANX,MAR,MIG,MIL,MILY,MLPA,MLPB,MLPC,MLPD,MLPE,MLPF,MLPG,MLPH,MLPI,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,REL,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,YOEP,UWRK,ANC,ANC1P,ANC2P,DS,ESP,ESR,HISP,INDP,JWDP,LANP,MIGSP,MSP,NAICSP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWSP,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNHPI,RACNUM,RACSOR,RACWHT,RC,SFN,SFR,SOCP,VPS,FAGEP,FANCP,FCITP,FCOWP,FDDRSP,FDEYEP,FDOUTP,FDPHYP,FDREMP,FDWRKP,FENGP,FESRP,FFERP,FGCLP,FGCMP,FGCRP,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARP,FMIGP,FMIGSP,FMILPP,FMILSP,FMILYP,FOCCP,FOIP,FPAP,FPOBP,FPOWSP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FYOEP
P,44,51,01,1013503,0074,85,1, ,2,1,2,1,2,2, , ,2, , ,000550,,, ,2,2,1,4, , , , , , , , , , , , , ,2, ,000000,00000,00,000000,1, ,9,000000,2,09100,10900,000000,,3,,,2,4,207,207,1, ,6,01, , , , ,3, ,0, ,4,0000000,0020550,040,247, ,1,01,47,0,0,0,0,1,0,1,0, , , , ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P,44,83,01,1013503,0070,56,1,1,2,1,2,2,2,2, , ,2, , ,000000,,, ,2,1,1,2,1,0,0,0,0,1,0,0,0,0,1, ,2, , ,000000,00000,00,000000,1, ,6,000000,1,00000,00000,040000,50,1,50,,2,2,019,013,1, ,2,01,278, , , ,1,3321,0,795, ,0040000,0040000,022,501, ,1,01,47,0,0,0,0,1,0,1,0, , ,514031,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,44,83,02,1013503,0069,50,1,1,2,2,2,2,2,1, ,2,2, , ,000000,,, ,2,1,1,4, , , , , , , , , , ,2, ,2,2, ,000000,00000,01,000000,1, ,9,000000,2,00000,00000,020000,35,1,50,,2,2,013,014,1, ,6,01,507, , , ,1,44611,0,472,4,0020000,0020000,022,501, ,1,01,47,0,0,0,0,1,0,1,0, , ,412010, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,44,169,01,1013503,0077,53,1, ,2,2,1,1,1,1, , ,2, , ,000000,,, ,2,2,1,4, , , , , , , , , , ,2,2,2,2, ,000000,00000,00,000000,1, ,3,000000,1,06000,00000,000000,,3,,,2,1,204,207,1, ,6,01, , , , ,3, ,0, , ,0000000,0006000,040,066, ,1,01,47,0,0,0,0,1,0,1,0, , , , ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,44,364,01,1013503,0070,65,1,1,2,2,2,2,2,2, , ,2, , ,001500,030,,02,2,1,1,4, , , , , , , , , , , , , , , ,000000,00000,00,000000,1, ,9,000000,2,00000,10200,039000,40,1,52,,1,2,018,047,2, ,1,01,687,045, , ,1,52M1,0,510,4,0039000,0050700,036,501,40,1,01,47,0,0,0,0,1,0,1,0, , ,433011, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,44,364,02,1013503,0074,69,1,5,2,2,2,2,2,2, , ,2, , ,001500,,, ,2,1,1,2,2,0,0,0,0,0,0,1,0,0,2,1,2, ,2,002500,00000,01,000000,1, ,11,000000,1,00000,12000,012700,40,1,30,,2,1,019,207,2, ,6,01,957, , , ,1,92M2,0,531, ,0012700,0028700,040,501, ,1,01,47,0,0,0,0,1,0,1,0, , ,434111,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P,44,460,01,1013503,0067,73,1, ,2,2,2,2,2,1, , ,2, , ,000000,,, ,2,2,1,4, , , , , , , , , , , , , , , ,000000,00000,00,012600,1, ,9,000000,2,00000,04800,000000,,3,,,2,1,019,207,2, ,6,01, , , , ,3, ,0, ,4,0000000,0017400,040,210, ,1,01,47,0,0,0,0,1,0,1,0, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,44,491,01,1013503,0072,59,1,1,2,2,2,1,2,2, , ,2, , ,000000,040,01,01,2,1,1,4, , , , , , , , , , , , , , , ,000000,00000,00,000000,1, ,12,000000,2,00000,00000,012000,26,1,52,,1,1,019,207,1, ,1,01,408,040, , ,1,4212,0,512,4,0012000,0012000,040,501,22,1,01,47,0,0,0,0,1,0,1,0, , ,433031, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,44,491,02,1013503,0069,60,1,1,2,2,2,2,2,2, , ,2, , ,000000,012,01,01,2,1,1,2,2,0,0,0,0,0,1,0,0,0, , , , , ,000000,00000,01,000000,1, ,13,000000,1,00000,00000,053000,50,1,52,,1,1,019,207,2, ,1,01,278,039, , ,1,3321,0,002, ,0053000,0053000,040,501,40,1,01,47,0,0,0,0,1,0,1,0, , ,111021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,44,581,01,1013503,0068,53,1, ,2,2,2,2,2,2,1, ,2, , ,000000,,, ,1,5,1,4, , , , , , , , , , ,2, ,2,2, ,001200,00000,00,000000,1, ,13,000000,1,00000,06200,000000,,3,,,2,2,014,018,2, ,6,01, , ,011, ,6, ,0, , ,0000000,0007400,036,080, ,1,01,47,0,0,0,0,1,0,1,0, , , , ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
