CNTY_TRACT_FIPS,CNTY_FIPS,TRACT,POP2000,POP2001,POP00_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC
130300,001,030300,4749,4773,2002.7,4615,10,9,96,0,6,13,43,2304,2445,284,1146,129,178,694,941,776,601,39.5,38.9,40.0,1678,2.82,83,177,645,554,9,82,1374,3.16,1716,38,1534,144
130200,001,030200,3247,3271,1811.1,3115,17,7,74,0,1,33,34,1556,1691,175,656,74,172,433,582,504,651,41.9,40.9,42.8,1259,2.57,99,187,364,421,17,61,940,3.03,1290,31,1015,244
130100,001,030100,4880,4930,2837.5,4640,81,3,78,0,24,54,57,2422,2458,269,991,290,351,669,918,716,676,38.3,36.3,40.4,1708,2.64,120,271,554,536,19,74,1261,3.14,1763,55,1500,208
130601,001,030601,3610,3627,833.0,3518,20,8,13,2,10,39,32,1728,1882,201,683,151,251,558,650,595,521,39.4,38.7,40.1,1324,2.67,108,167,363,435,13,85,989,3.10,1412,88,1073,251
130500,001,030500,3406,3410,5751.8,3243,45,11,18,1,15,73,37,1647,1759,196,566,164,505,588,511,435,441,35.0,34.2,35.6,1570,2.17,287,310,205,287,39,167,844,2.88,1693,123,513,1057
130400,001,030400,3943,3979,1493.7,3839,7,0,49,0,12,36,43,1915,2028,268,956,91,104,424,767,790,543,41.7,41.0,42.3,1366,2.88,59,137,540,513,13,43,1139,3.20,1430,64,1262,104
130602,001,030602,4344,4355,3440.4,4238,29,7,26,1,8,35,37,2019,2325,170,638,161,320,562,708,713,1072,44.3,41.7,46.8,1814,2.29,201,376,337,600,15,66,1162,2.89,1872,58,1179,635
130901,001,030901,6172,6216,2442.3,6016,40,7,33,8,5,63,50,3183,2989,395,1118,257,436,988,1119,1017,842,39.2,39.4,39.0,2051,2.88,121,167,676,768,30,75,1676,3.20,2135,84,1812,239
130902,001,030902,7025,7070,1471.6,6911,19,3,39,0,13,40,75,3244,3781,344,1023,227,432,929,1031,1311,1728,45.1,42.6,47.7,2824,2.39,215,532,608,1067,20,103,1961,2.91,2933,109,2164,660
130800,001,030800,5025,5023,2141.6,4795,52,17,64,1,28,68,84,2391,2634,197,492,1565,511,530,496,588,646,25.3,24.2,26.4,1495,2.34,164,260,259,497,24,79,977,2.88,1594,99,900,595
