RT,SERIALNO,CMSA,DIVISION,MSA,PUMA,REGION,ST,ADJUST,WGTP,NP,TYPE,ACR,AGS,BDS,BLD,BUS,CONP,ELEP,FULP,GASP,HCA,HFL,INSP,KIT,LUN,MHP,MHX,MRGI,MRGP,MRGT,MRGX,PHP,PLM,RMS,RNT8,RNTM,RNTP,RNTS,SMP,TEL,TEN,VACS,VAL,VEH,WATP,YBL,FES,FINCP,FPARC,FSP,GRNTP,GRPIP,HHL,HHT,HINCP,HUPAC,LNGI,MV,NOC,NPF,NRC,OCPIP,PSF,R18,R65,SMOCP,SMX,SRNT,SVAL,TAXP,WIF,WKEXREL,FACRP,FAGSP,FBDSP,FBLDP,FBUSP,FCONP,FELEP,FFSP,FFULP,FGASP,FHCAP,FHFLP,FINSP,FKITP,FLUNP,FMHP,FMHXP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVYP,FPHPP,FPLMP,FRMSP,FRNT8P,FRNTMP,FRNTP,FRNTSP,FSMP,FSMXHP,FSMXSP,FTAXP,FTELP,FTENP,FVACSP,FVALP,FVEHP,FWATP,FYBLP
H,51,0000,1,0000,00044,1,44,1013503,0072,01,1,1, ,2,02,2,0000,020,0400,200,1,1,0300,1, ,, , ,, ,3, ,1,4, , ,, ,,1,2, ,11,0,0050,8, ,, ,2,,,1,6,00020550,4,1,7,00,,00,023,0,0,1,00397, ,0,1,25, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
H,83,0000,1,0000,00044,1,44,1013503,0065,02,1, , ,4,04, ,0000,130,1000,050,2,4,0620,1, ,, ,2,01200,1,1, ,1,9, , ,, ,,1,1, ,16,3,0400,9,2,00060000,4,2,,,1,1,00060000,4,1,6,00,02,00,031,0,0,0,01548,2,0,0,33,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,169,0000,1,0000,00044,1,44,1013503,0073,01,1, , ,1,06, ,,020,0005,005,2,1,,1, ,, , ,, , ,1,1,3,1,2,00140,1,,1,3, , ,0,0005,5, ,, ,1,0165,033,1,4,00006000,4,1,5,00,,00,,0,0,0,, ,1,0, , , ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,364,0000,1,0000,00044,1,44,1013503,0068,02,1,1, ,2,03,2,0120,080,0005,140,2,1,0540,1, ,, ,2,00500,1,1, ,1,6, , ,, ,,1,1, ,14,1,0005,4,3,00079400,4,2,,,1,1,00079400,4,1,5,00,02,00,013,0,0,2,00885,2,0,1,26,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,460,0000,1,0000,00044,1,44,1013503,0066,01,1,1, ,2,02,2,0000,040,0910,005,2,4,0270,1, ,, ,1,00240,1,1, ,1,6, , ,, ,,1,1, ,13,1,0110,7, ,, ,2,,,1,6,00017400,4,1,7,00,,00,026,0,0,1,00370,2,0,1,32, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,491,0000,1,0000,00044,1,44,1013503,0068,02,1,1, ,3,02,2,0000,070,1100,005,2,4,0680,1, ,, ,1,00840,1,1, ,1,7, , ,, ,,1,1, ,18,2,0280,5,1,00065000,4,2,,,1,1,00065000,4,1,6,00,02,00,019,0,0,0,01030,2,0,1,59,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,581,0000,1,0000,00044,1,44,1013503,0064,01,1, , ,5,06, ,,005,0005,005,2,4,,1, ,, , ,, , ,2,1,9,3,2,00170,1,,1,3, , ,1,0005,9, ,, ,2,0180,029,3,4,00007400,4,1,3,00,,00,,0,0,0,, ,1,0, , , ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,783,0000,1,0000,00044,1,44,1013503,0074,02,1,1, ,3,02,2,0000,050,0005,120,2,1,0450,1, ,, , ,, ,3, ,1,5, , ,, ,,1,2, ,15,1,0250,6,4,00011000,4,2,,,3,1,00011000,4,1,7,00,02,00,045,0,0,1,00412, ,0,1,34,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,814,0000,1,0000,00044,1,44,1013503,0061,02,1, , ,2,07, ,,090,0005,005,2,3,,1, ,, , ,, , ,1,1,4,1,2,00530,1,,1,3, , ,1,0005,5,8,00049900,4,2,0625,015,3,3,00049900,4,2,4,00,02,00,,0,0,1,, ,1,0, ,1,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
H,845,0000,1,0000,00044,1,44,1013503,0068,01,1,1, ,3,02,2,0000,060,0800,005,2,4,0500,1, ,, , ,, ,3, ,1,5, , ,, ,,1,2, ,15,1,0200,5, ,, ,2,,,1,4,00017700,4,1,3,00,,00,024,0,0,1,00354, ,0,1,31, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,1202,0000,1,0000,00044,1,44,1013503,0073,02,1,2,1,4,02,2,0000,180,1100,005,2,4,0480,1, ,, , ,, ,3, ,1,8, , ,, ,,1,2, ,14,2,0120,9,4,00027900,4,2,,,1,1,00027900,4,1,7,00,02,00,027,0,0,0,00635, ,0,1,49,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,1359,0000,1,0000,00044,1,44,1013503,0072,01,1, , ,1,09, ,,005,0005,005,2,3,,1, ,, , ,, , ,1,1,2, ,2,00170,2,,1,3, , ,0,0005,6, ,, ,2,0180,030,1,4,00007200,4,1,5,00,,00,,0,0,1,, ,1,0, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,1398,0000,1,0000,00044,1,44,1013503,0190,00,1, , ,0,09, ,,,,, , ,,1, ,, , ,, , ,2,1,1, ,1,00370, ,, , ,1, , ,,1, ,, , ,,, , ,, , , ,,,,, , , ,, ,1,0, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
H,1598,0000,1,0000,00044,1,44,1013503,0075,04,1,1, ,3,02,2,0000,150,0130,060,2,4,0750,1,2,, ,2,01200,2,1, ,1,8, , ,, ,,1,1, ,16,3,0005,5,1,00072000,2,2,,,1,1,00072000,2,1,5,02,04,02,029,0,1,0,01722,2,0,1,40,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,1719,0000,1,0000,00044,1,44,1013503,0216,01,1, , ,3,05, ,0000,040,0005,020,2,1,0400,1, ,, , ,, ,3, ,1,6, , ,, ,,1,2, ,15,1,0700,9, ,, ,2,,,1,4,00038800,4,1,7,00,,00,013,0,0,0,00418, ,0,0,44, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,1951,0000,1,0000,00044,1,44,1013503,0077,02,1, , ,2,05, ,,030,0005,040,2,1,,1, ,, , ,, , ,2,1,6, ,2,00450,2,,1,3, , ,3,0005,9, ,, ,2,0520,015,1,7,00040900,4,1,3,00,,00,,0,0,0,, ,1,0, , , ,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
H,1961,0000,1,0000,00044,1,44,1013503,0080,01,1,1, ,5,02,2,0000,040,1200,030,2,4,0600,1, ,, , ,, ,3, ,1,9, , ,, ,,1,2, ,15,2,0160,9, ,, ,2,,,1,4,00035000,4,1,7,00,,00,012,0,0,1,00350, ,0,1,26, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,1974,0000,1,0000,00044,1,44,1013503,0074,01,1, , ,2,04, ,0000,030,0005,200,2,1,0800,1, ,, , ,, ,3, ,1,4, , ,, ,,1,2, ,12,2,0270,9, ,, ,2,,,1,6,00033500,4,1,6,00,,00,014,0,0,0,00403, ,0,0,22, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,2005,0000,1,0000,00044,1,44,1013503,0078,01,1, , ,2,05, ,,040,0005,090,2,1,,1, ,, , ,, , ,2,1,4, ,2,00500,2,,1,3, , ,1,0005,8, ,, ,2,0630,101,1,4,00002300,4,1,7,00,,00,,0,0,0,, ,1,0, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,2046,0000,1,0000,00044,1,44,1013503,0077,01,1,1, ,2,02,2,0000,040,1000,050,2,4,0450,1, ,, , ,, ,3, ,1,6, , ,, ,,1,2, ,15,1,0005,9, ,, ,2,,,1,6,00007700,4,1,7,00,,00,048,0,0,1,00311, ,0,1,24, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,2177,0000,1,0000,00044,1,44,1013503,0079,02,1,2,1,2,02,2,0000,100,0850,005,2,4,0450,1, ,, ,2,00700,2,1, ,1,5, , ,, ,,1,1, ,17,3,0005,4,1,00155000,4,2,,,1,1,00155000,4,1,5,00,02,00,009,0,0,0,01147,2,0,1,40,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,2282,0000,1,0000,00044,1,44,1013503,0067,02,1, , ,2,04, ,,060,0005,005,2,4,,1, ,, , ,, , ,2,1,3, ,2,00300,2,,1,3, , ,2,0005,9,1,00073300,4,2,0365,006,1,1,00073300,4,1,4,00,02,00,,0,0,0,, ,1,0, ,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
